date,monthly_income,rent,utilities,food,transport,clothes_skincare,investment,entertainment
2026-09-18,12000,2500,600,2500,1000,1500,2400.0,1500.0
2026-09-18,12000,2500,600,2500,1000,1500,2400.0,1500.0
2026-09-18,12000,2500,600,2500,1000,1500,2400.0,1500.0
2026-09-18,12000,2500,600,2500,1000,1500,2400.0,1500.0
2026-09-18,8500.0,1400.0,550.0,2000.0,500.0,1000.0,1700.0,1350.0
2026-09-18,12000,2500,600,2500,1000,1500,2400.0,1500.0
2026-09-18,12000,2500,600,2500,1000,1500,2400.0,1500.0
2026-09-18,12000,2500,600,2500,1000,1500,2400.0,1500.0
2026-09-18,12000,2500,600,2500,1000,1500,2400.0,1500.0
2026-09-18,12000,2500,600,2500,1000,1500,2400.0,1500.0
2026-09-18,12000,2500,600,2500,1000,1500,2400.0,1500.0
2026-09-18,4600.0,1000.0,230.0,450.0,170.0,1000.0,920.0,830.0
2026-09-18,12000,2500,600,2500,1000,1500,2400.0,1500.0
2026-09-18,12000,2500,600,2500,1000,1500,2400.0,1500.0
2026-09-18,9000.0,2500.0,370.0,1900.0,450.0,1000.0,1800.0,980.0
2026-09-19,12000,2500,600,2500,1000,1500,2400.0,1500.0
2026-09-19,12000,2500,600,2500,1000,1500,2400.0,1500.0
